@relation WallFollowingRobotNavigation_4

@attribute SD_front numeric
@attribute SD_left numeric
@attribute SD_right numeric
@attribute SD_back numeric
@attribute Class {MoveForward, SlightRightTurn, SharpRightTurn, SlightLeftTurn}

@data
0.787,0.833,1.346,0.677,SharpRightTurn
0.790,0.779,1.345,0.670,SharpRightTurn
0.814,0.668,1.342,0.667,SharpRightTurn
0.807,0.809,1.342,0.661,SharpRightTurn
0.786,0.805,1.340,0.659,SharpRightTurn
0.785,0.804,1.347,0.647,SharpRightTurn
0.787,0.854,1.303,0.647,SharpRightTurn
0.791,0.800,1.353,0.646,SharpRightTurn
0.794,0.786,1.347,0.639,SharpRightTurn
0.814,0.780,1.345,0.636,SharpRightTurn
0.880,0.776,1.346,0.632,SharpRightTurn
1.593,0.774,1.347,0.627,MoveForward
1.593,0.770,1.349,0.626,MoveForward
1.593,0.765,1.351,0.625,MoveForward
1.593,0.765,1.353,0.624,MoveForward
1.592,0.763,1.355,0.625,MoveForward
1.591,0.763,1.355,0.627,MoveForward
1.590,0.763,1.351,0.628,MoveForward
1.588,0.763,1.352,0.630,MoveForward
1.586,0.758,1.357,0.634,MoveForward
1.576,0.759,1.356,0.641,MoveForward
1.566,0.753,1.362,0.650,MoveForward
1.555,0.751,1.367,0.662,MoveForward
0.932,0.745,1.373,0.675,MoveForward
1.525,0.739,1.379,0.689,MoveForward
1.508,0.733,1.385,0.705,MoveForward
1.494,0.727,1.391,0.722,MoveForward
1.473,0.721,1.397,0.739,MoveForward
1.454,0.715,1.403,0.757,MoveForward
1.438,0.707,1.409,0.776,MoveForward
1.419,0.700,1.415,0.795,MoveForward
1.399,0.694,1.425,0.814,MoveForward
1.379,0.690,1.432,0.834,MoveForward
1.358,0.683,1.438,0.854,MoveForward
1.338,0.673,1.445,0.874,MoveForward
1.317,0.666,1.453,0.895,MoveForward
0.891,0.663,1.464,0.915,SharpRightTurn
1.276,0.652,1.472,0.936,MoveForward
1.255,0.645,1.526,0.956,MoveForward
1.233,0.638,1.538,0.976,MoveForward
1.212,0.627,1.547,0.996,MoveForward
1.193,0.623,1.555,1.015,MoveForward
1.174,0.613,1.561,1.034,MoveForward
1.156,0.607,1.573,1.052,MoveForward
1.138,0.600,1.584,1.070,MoveForward
1.121,0.594,3.117,1.087,MoveForward
1.105,0.588,3.114,1.103,MoveForward
1.089,0.582,1.610,1.119,MoveForward
1.074,0.576,2.367,1.135,MoveForward
1.058,0.570,3.133,1.150,MoveForward
1.043,0.564,2.369,1.166,MoveForward
1.026,0.562,3.141,1.183,MoveForward
1.009,0.555,3.158,1.200,MoveForward
0.989,0.549,2.400,1.218,MoveForward
0.733,0.539,2.399,1.236,SharpRightTurn
0.711,0.540,3.166,1.255,SharpRightTurn
0.679,0.530,3.176,1.272,SharpRightTurn
0.658,0.521,3.199,1.291,SharpRightTurn
0.650,0.515,3.185,1.309,SharpRightTurn
0.644,0.509,3.191,1.325,SharpRightTurn
0.639,0.504,3.194,1.340,SharpRightTurn
0.860,0.504,3.201,1.348,SharpRightTurn
0.859,0.496,3.203,1.351,SharpRightTurn
0.861,0.491,2.430,1.349,SharpRightTurn
0.865,0.491,3.208,1.345,SharpRightTurn
0.865,0.491,3.208,1.345,SharpRightTurn
0.865,0.490,2.425,1.345,SharpRightTurn
0.865,0.490,3.206,1.345,SharpRightTurn
0.865,0.489,3.207,1.345,SharpRightTurn
0.865,0.488,3.207,1.347,SharpRightTurn
0.868,0.487,3.205,1.344,SharpRightTurn
0.867,0.486,3.205,1.343,SharpRightTurn
0.870,0.485,3.206,1.343,SharpRightTurn
0.869,0.485,3.206,1.343,SharpRightTurn
0.740,0.484,3.206,1.343,SharpRightTurn
0.740,0.483,3.207,1.342,SharpRightTurn
0.861,0.482,3.208,1.341,SharpRightTurn
0.859,0.480,3.209,1.341,SharpRightTurn
0.857,0.478,1.811,1.341,SharpRightTurn
0.853,0.477,1.794,1.341,SharpRightTurn
0.850,0.475,2.277,1.342,SharpRightTurn
0.852,0.474,3.218,1.341,SharpRightTurn
0.852,0.472,1.924,1.348,SharpRightTurn
0.851,0.470,1.923,1.345,SharpRightTurn
0.854,0.467,1.921,1.345,SharpRightTurn
0.857,0.465,1.921,1.088,SharpRightTurn
0.873,0.462,1.826,1.085,SharpRightTurn
1.491,0.460,1.768,1.080,SlightRightTurn
1.202,0.458,1.763,1.073,SlightRightTurn
1.201,0.456,1.829,1.040,SlightRightTurn
1.200,0.455,1.926,1.033,SlightRightTurn
1.198,0.454,1.836,1.033,SlightRightTurn
1.198,0.455,1.924,1.034,SlightRightTurn
1.198,0.455,1.835,1.035,SlightRightTurn
1.197,0.456,1.835,1.039,SlightRightTurn
1.198,0.456,1.926,1.042,SlightRightTurn
1.191,0.457,1.928,1.043,SlightRightTurn
1.186,0.458,1.898,0.553,SlightRightTurn
1.567,0.459,1.820,0.554,SlightRightTurn
1.208,0.461,1.783,1.006,SlightRightTurn
1.553,0.462,1.839,1.013,SlightRightTurn
1.191,0.464,1.840,1.021,SlightRightTurn
1.535,0.465,1.805,0.916,SlightRightTurn
1.528,0.466,1.802,0.921,SlightRightTurn
1.519,0.468,1.785,0.929,SlightRightTurn
1.512,0.470,1.782,0.938,SlightRightTurn
1.416,0.471,1.775,0.946,SlightRightTurn
1.522,0.473,1.521,0.954,SlightRightTurn
1.475,0.476,1.482,0.963,SlightRightTurn
1.487,0.478,1.530,0.971,SlightRightTurn
1.473,0.480,1.485,1.000,SlightRightTurn
1.472,0.483,1.468,1.006,SlightRightTurn
1.459,0.486,1.461,1.012,SlightRightTurn
1.462,0.489,1.451,1.021,SlightRightTurn
1.340,0.491,1.441,1.243,SlightRightTurn
1.335,0.494,1.440,1.252,SlightRightTurn
1.421,0.497,1.428,0.828,MoveForward
1.421,0.500,1.426,0.840,MoveForward
1.414,0.504,1.506,0.849,MoveForward
1.404,0.507,1.429,1.289,MoveForward
1.393,0.511,1.421,1.297,MoveForward
1.381,0.515,1.420,1.312,MoveForward
1.368,0.520,1.472,1.326,MoveForward
1.353,0.526,1.579,0.903,MoveForward
1.309,0.531,1.581,1.291,MoveForward
1.293,0.538,1.415,0.934,MoveForward
1.273,0.545,1.608,0.935,MoveForward
1.287,0.551,1.507,0.955,MoveForward
1.269,0.559,1.503,0.976,MoveForward
1.220,0.566,1.625,1.007,MoveForward
1.202,0.574,1.622,1.025,MoveForward
1.183,0.581,1.577,1.482,MoveForward
1.165,0.589,1.526,1.502,MoveForward
1.143,0.597,1.560,1.525,MoveForward
1.128,0.604,1.527,1.544,MoveForward
1.106,0.612,1.535,0.951,MoveForward
1.090,0.619,1.544,0.976,MoveForward
1.068,0.627,1.557,0.997,MoveForward
1.049,0.635,1.766,1.622,MoveForward
1.030,0.642,1.786,1.642,MoveForward
1.012,0.650,1.884,1.567,MoveForward
0.994,0.657,1.611,1.575,MoveForward
0.975,0.664,2.005,1.602,MoveForward
0.957,0.672,1.655,1.545,MoveForward
0.942,0.679,2.099,1.645,MoveForward
1.173,0.686,3.014,1.585,MoveForward
1.160,0.695,3.007,1.685,MoveForward
1.148,0.702,2.195,1.621,MoveForward
1.139,0.707,2.198,1.824,MoveForward
1.128,0.702,2.294,1.571,MoveForward
1.126,0.704,2.274,1.594,MoveForward
1.473,0.710,2.283,1.269,MoveForward
1.454,0.713,2.286,1.287,MoveForward
1.434,0.719,2.956,1.734,MoveForward
1.412,0.726,2.949,1.732,MoveForward
1.063,0.733,2.192,1.751,MoveForward
1.050,0.741,2.308,1.749,MoveForward
1.040,0.748,2.928,1.765,MoveForward
1.030,0.756,2.303,1.273,MoveForward
1.021,0.763,2.318,1.291,MoveForward
1.011,0.771,2.323,1.827,MoveForward
0.642,0.778,2.331,1.846,SharpRightTurn
0.622,0.786,2.343,1.869,SharpRightTurn
0.606,0.793,2.006,1.885,SharpRightTurn
0.589,0.801,2.014,1.908,SharpRightTurn
0.574,0.805,2.367,1.930,SharpRightTurn
0.559,0.807,2.375,1.951,SharpRightTurn
0.547,0.797,2.860,1.398,SharpRightTurn
0.541,0.786,2.373,1.919,SharpRightTurn
0.549,0.784,2.370,1.930,SharpRightTurn
0.983,0.780,2.373,1.701,MoveForward
0.984,0.780,2.372,1.700,MoveForward
0.983,0.780,2.378,1.602,MoveForward
0.983,0.780,2.381,1.701,MoveForward
0.981,0.780,2.387,1.703,MoveForward
0.980,0.780,2.391,1.606,MoveForward
0.979,0.779,2.388,1.610,MoveForward
0.978,0.779,2.385,1.614,MoveForward
0.978,0.779,2.388,1.704,MoveForward
0.977,0.779,2.388,1.708,MoveForward
0.976,0.778,2.392,1.709,MoveForward
0.974,0.778,2.392,1.710,MoveForward
0.972,0.777,2.391,1.616,MoveForward
0.968,0.777,2.390,1.624,MoveForward
0.961,0.776,2.393,1.628,MoveForward
0.952,0.775,2.387,1.642,MoveForward
0.937,0.773,2.392,2.247,MoveForward
0.924,0.775,2.398,1.669,MoveForward
0.910,0.774,2.402,1.685,MoveForward
0.895,0.773,2.411,1.679,SharpRightTurn
0.880,0.779,2.418,2.315,SharpRightTurn
0.864,0.779,2.428,1.758,SharpRightTurn
0.847,0.779,2.104,2.351,SharpRightTurn
0.832,0.778,2.798,5.000,SharpRightTurn
0.817,0.775,2.120,5.000,SharpRightTurn
0.804,0.771,2.784,5.000,SharpRightTurn
0.793,0.771,2.779,1.272,SharpRightTurn
0.792,0.769,2.479,1.272,SharpRightTurn
0.789,0.768,2.783,1.272,SharpRightTurn
0.791,0.767,2.785,1.283,SharpRightTurn
0.792,0.766,2.786,1.278,SharpRightTurn
0.792,0.766,2.787,1.277,SharpRightTurn
0.792,0.765,2.787,1.593,SharpRightTurn
0.791,0.765,2.787,1.278,SharpRightTurn
0.790,0.764,2.788,1.596,SharpRightTurn
0.791,0.766,2.789,1.599,SharpRightTurn
0.790,0.766,2.789,5.000,SharpRightTurn
0.790,0.769,2.789,1.172,SharpRightTurn
0.789,0.872,2.217,1.169,SharpRightTurn
0.789,0.870,2.211,1.172,SharpRightTurn
0.789,0.865,2.189,1.141,SharpRightTurn
0.788,0.772,2.185,5.000,SharpRightTurn
0.787,0.759,2.194,5.000,SharpRightTurn
0.786,0.753,2.140,4.301,SharpRightTurn
0.785,0.751,2.134,0.922,SharpRightTurn
0.785,0.749,2.128,4.285,SharpRightTurn
0.784,0.746,2.137,0.916,SharpRightTurn
0.787,0.744,2.809,5.000,SharpRightTurn
1.815,0.746,2.217,0.926,MoveForward
0.810,0.381,2.212,0.908,SharpRightTurn
0.789,0.376,2.208,0.904,SharpRightTurn
0.785,0.374,2.212,0.920,SharpRightTurn
0.785,0.374,2.213,0.897,SharpRightTurn
0.785,0.373,2.217,0.896,SharpRightTurn
0.785,0.373,2.149,0.895,SharpRightTurn
0.785,0.372,2.137,0.894,SharpRightTurn
0.785,0.372,2.222,0.893,SharpRightTurn
0.785,0.371,2.212,0.889,SharpRightTurn
0.788,0.370,2.180,0.885,SharpRightTurn
0.788,0.370,2.139,0.888,SharpRightTurn
0.788,0.372,2.139,0.884,SharpRightTurn
0.791,0.751,2.146,0.884,SharpRightTurn
0.798,0.743,2.149,0.886,SharpRightTurn
0.811,0.836,2.639,0.886,SharpRightTurn
1.824,0.835,2.150,0.874,MoveForward
1.821,0.371,2.158,0.836,SlightRightTurn
1.817,0.363,2.239,0.832,SlightRightTurn
1.816,0.357,2.240,0.831,SlightRightTurn
1.814,0.357,2.244,0.833,SlightRightTurn
1.813,0.357,2.644,0.834,SlightRightTurn
1.813,0.357,2.641,0.834,SlightRightTurn
1.810,0.357,2.164,0.834,SlightRightTurn
1.810,0.356,2.236,0.834,SlightRightTurn
1.810,0.356,2.173,0.834,SlightRightTurn
0.963,0.356,2.239,0.835,SlightRightTurn
1.810,0.356,2.239,0.837,SlightRightTurn
0.957,0.357,2.648,0.841,SlightRightTurn
1.799,0.357,2.246,0.847,SlightRightTurn
0.937,0.358,2.234,0.852,SlightRightTurn
0.930,0.362,2.159,0.860,SlightRightTurn
0.919,0.747,2.241,0.868,MoveForward
0.912,0.746,2.663,0.893,MoveForward
0.905,0.742,2.160,0.882,MoveForward
0.900,0.738,2.157,0.950,SharpRightTurn
0.898,0.734,2.153,0.899,SharpRightTurn
1.727,0.383,2.149,0.901,SlightRightTurn
2.715,0.374,2.144,0.906,SlightRightTurn
2.094,0.374,2.144,0.914,SlightRightTurn
2.693,0.378,2.182,0.922,SlightRightTurn
2.681,0.386,2.163,0.930,SlightRightTurn
2.670,0.700,2.707,0.937,MoveForward
2.660,0.697,2.094,0.945,MoveForward
2.651,0.693,2.094,0.952,MoveForward
2.644,0.690,2.084,0.955,MoveForward
2.634,0.687,2.085,0.962,MoveForward
2.622,0.683,2.077,0.970,MoveForward
2.618,0.680,2.098,0.980,MoveForward
2.595,0.676,2.090,0.917,MoveForward
1.567,0.672,2.084,0.928,MoveForward
1.557,0.668,2.043,0.940,MoveForward
1.537,0.664,2.072,0.955,MoveForward
2.528,0.660,2.066,0.972,MoveForward
1.499,0.655,2.059,0.991,MoveForward
1.478,0.651,2.059,1.008,MoveForward
1.459,0.647,1.945,1.026,MoveForward
1.441,0.538,1.973,1.044,MoveForward
1.422,0.640,2.027,1.062,MoveForward
1.407,0.636,2.035,1.084,MoveForward
1.388,0.632,2.025,1.103,MoveForward
1.369,0.628,2.785,0.590,MoveForward
1.350,0.624,2.795,0.601,MoveForward
1.331,0.620,2.055,0.614,MoveForward
1.309,0.616,2.052,0.630,MoveForward
1.294,0.612,2.058,0.642,MoveForward
1.275,0.608,2.027,0.657,MoveForward
2.249,0.604,2.195,0.676,MoveForward
2.230,0.599,2.143,0.691,MoveForward
2.210,0.595,2.166,0.706,MoveForward
2.191,0.589,2.828,0.718,MoveForward
2.171,0.585,2.145,0.737,MoveForward
2.151,0.583,2.141,0.752,MoveForward
2.131,0.580,2.147,0.768,MoveForward
2.111,0.576,2.835,0.783,MoveForward
2.092,0.572,2.152,0.798,MoveForward
2.072,0.568,2.148,0.812,MoveForward
2.053,0.564,2.180,0.828,MoveForward
2.034,0.561,2.148,0.843,MoveForward
2.014,0.557,2.154,0.858,MoveForward
1.994,0.553,1.918,0.874,MoveForward
1.975,0.549,2.167,0.889,MoveForward
1.955,0.545,2.165,0.904,MoveForward
1.935,0.541,2.175,0.919,MoveForward
1.916,0.537,1.909,0.934,MoveForward
1.897,0.533,1.874,0.949,MoveForward
1.878,0.530,1.865,0.964,MoveForward
1.859,0.526,1.857,0.979,MoveForward
1.840,0.522,1.856,0.994,MoveForward
1.822,0.518,1.855,1.008,MoveForward
0.584,0.515,1.854,1.023,SharpRightTurn
0.577,0.511,1.856,1.038,SharpRightTurn
0.577,0.507,1.855,1.053,SharpRightTurn
0.573,0.504,1.852,1.067,SharpRightTurn
0.790,0.500,1.851,1.080,SharpRightTurn
0.777,0.497,1.854,1.093,SharpRightTurn
0.765,0.494,1.854,1.104,SharpRightTurn
0.760,0.491,1.852,1.109,SharpRightTurn
0.761,0.490,1.754,1.145,SharpRightTurn
0.769,0.490,1.754,1.117,SharpRightTurn
0.770,0.489,1.758,1.768,SharpRightTurn
0.773,0.490,1.758,1.130,SharpRightTurn
0.773,0.489,1.758,1.134,SharpRightTurn
0.770,0.489,1.760,1.141,SharpRightTurn
0.773,0.488,1.761,1.103,SharpRightTurn
1.501,0.487,1.763,1.095,SlightRightTurn
1.495,0.487,1.764,1.094,SlightRightTurn
1.494,0.486,1.766,1.093,SlightRightTurn
1.491,0.485,1.771,1.093,SlightRightTurn
1.496,0.485,1.873,1.090,SlightRightTurn
1.702,0.485,1.772,1.094,SlightRightTurn
1.492,0.485,1.768,1.095,SlightRightTurn
1.491,0.485,1.767,1.095,SlightRightTurn
1.492,0.485,1.872,1.097,SlightRightTurn
1.694,0.484,1.765,1.100,SlightRightTurn
1.689,0.483,1.866,1.104,SlightRightTurn
1.682,0.483,1.865,1.106,SlightRightTurn
1.675,0.482,1.999,1.111,SlightRightTurn
1.666,0.481,1.993,1.118,SlightRightTurn
1.656,0.480,1.984,1.126,SlightRightTurn
0.583,0.479,1.981,1.135,SharpRightTurn
1.635,0.478,1.718,1.144,SlightRightTurn
1.624,0.478,1.711,1.153,SlightRightTurn
1.613,0.478,1.701,1.163,SlightRightTurn
1.603,0.477,1.695,1.172,SlightRightTurn
1.593,0.477,1.959,1.181,SlightRightTurn
1.584,0.478,1.865,1.189,SlightRightTurn
1.575,0.477,1.854,1.196,SlightRightTurn
1.567,0.478,1.852,1.204,SlightRightTurn
1.559,0.478,1.850,1.212,SlightRightTurn
1.550,0.478,1.842,1.220,SlightRightTurn
1.541,0.479,1.843,1.228,SlightRightTurn
1.531,0.480,1.841,1.237,SlightRightTurn
1.521,0.480,1.836,1.250,SlightRightTurn
1.511,0.481,1.834,1.259,SlightRightTurn
1.316,0.482,1.829,1.270,SlightRightTurn
1.304,0.483,1.827,1.279,SlightRightTurn
1.296,0.484,1.825,1.288,SlightRightTurn
1.291,0.485,1.819,1.298,SlightRightTurn
1.283,0.486,1.817,1.309,SlightRightTurn
1.278,0.487,1.815,1.318,SlightRightTurn
1.273,0.488,1.812,1.327,SlightRightTurn
1.432,0.490,1.810,1.337,SlightRightTurn
1.422,0.491,1.808,1.347,SlightRightTurn
1.412,0.493,1.805,1.356,SlightRightTurn
1.402,0.494,1.800,0.589,SlightRightTurn
1.392,0.496,1.798,1.374,MoveForward
1.382,0.498,1.795,1.383,MoveForward
1.372,0.499,1.793,1.393,MoveForward
1.361,0.501,1.790,1.403,MoveForward
1.349,0.503,1.787,0.884,MoveForward
1.336,0.506,1.783,0.895,MoveForward
1.322,0.509,1.779,0.904,MoveForward
1.308,0.513,1.774,0.918,MoveForward
1.292,0.516,1.769,0.932,MoveForward
1.275,0.521,1.764,0.948,MoveForward
1.259,0.526,1.758,0.964,MoveForward
1.241,0.531,1.753,0.981,MoveForward
1.223,0.536,1.747,0.998,MoveForward
1.205,0.541,1.740,1.015,MoveForward
1.186,0.547,1.733,1.034,MoveForward
1.168,0.553,1.726,1.052,MoveForward
1.150,0.559,1.719,1.074,MoveForward
1.131,0.565,1.712,1.095,MoveForward
1.113,0.571,1.705,0.644,MoveForward
1.094,0.578,1.698,0.650,MoveForward
1.075,0.584,1.690,1.697,MoveForward
1.056,0.591,1.679,0.661,MoveForward
1.037,0.597,1.646,1.737,MoveForward
1.018,0.604,1.631,1.757,MoveForward
0.998,0.608,1.622,1.777,MoveForward
0.979,0.615,1.609,1.801,MoveForward
0.959,0.623,1.601,0.710,MoveForward
0.940,0.631,1.592,1.839,MoveForward
0.923,0.638,1.584,1.862,MoveForward
0.904,0.645,1.572,1.337,MoveForward
0.882,0.652,1.564,1.353,SharpRightTurn
0.864,0.658,1.556,0.723,SharpRightTurn
0.846,0.665,1.549,0.729,SharpRightTurn
0.827,0.671,1.542,0.736,SharpRightTurn
0.809,0.678,1.534,0.743,SharpRightTurn
0.792,0.684,1.528,0.749,SharpRightTurn
0.776,0.689,1.522,0.753,SharpRightTurn
0.767,0.690,1.520,0.755,SharpRightTurn
0.767,0.687,1.523,0.751,SharpRightTurn
0.769,0.686,1.525,0.745,SharpRightTurn
0.770,0.685,1.525,0.744,SharpRightTurn
0.770,0.685,1.525,0.744,SharpRightTurn
0.769,0.685,1.529,0.743,SharpRightTurn
0.769,0.684,1.529,0.745,SharpRightTurn
0.769,0.684,1.530,0.780,SharpRightTurn
0.769,0.683,1.531,0.748,SharpRightTurn
0.768,0.683,1.533,1.452,SharpRightTurn
0.768,0.682,1.534,0.776,SharpRightTurn
0.768,0.681,1.536,0.773,SharpRightTurn
0.769,0.680,1.537,0.762,SharpRightTurn
0.765,0.682,1.539,0.721,SharpRightTurn
0.763,0.684,1.540,0.714,SharpRightTurn
0.762,0.683,1.538,0.711,SharpRightTurn
0.761,0.681,1.540,0.704,SharpRightTurn
0.760,0.677,1.542,0.701,SharpRightTurn
0.759,0.676,1.547,0.700,SharpRightTurn
0.758,0.679,1.549,0.694,SharpRightTurn
0.757,0.679,1.551,0.701,SharpRightTurn
0.756,0.682,1.556,0.685,SharpRightTurn
0.755,0.689,1.560,0.678,SharpRightTurn
0.762,0.720,1.566,0.674,SharpRightTurn
0.769,0.783,1.564,0.668,SharpRightTurn
0.772,0.685,1.564,0.665,SharpRightTurn
0.758,0.779,1.566,0.662,SharpRightTurn
0.758,0.779,1.572,0.660,SharpRightTurn
0.758,0.776,1.579,0.658,SharpRightTurn
0.761,0.851,5.000,0.663,SharpRightTurn
0.764,0.713,3.251,0.650,SharpRightTurn
0.768,0.753,3.250,0.648,SharpRightTurn
1.566,0.749,1.618,0.645,MoveForward
1.567,0.745,1.622,0.643,MoveForward
1.568,0.711,1.623,0.641,MoveForward
1.570,0.741,1.626,0.640,MoveForward
1.572,0.740,1.626,0.642,MoveForward
1.567,0.742,1.621,0.646,MoveForward
1.560,0.724,1.613,0.652,MoveForward
1.551,0.734,1.601,0.662,MoveForward
1.540,0.726,1.592,0.673,MoveForward
1.527,0.720,1.580,0.685,MoveForward
1.513,0.714,1.566,0.699,MoveForward
1.497,0.707,1.554,0.715,MoveForward
1.481,0.700,3.298,0.731,MoveForward
1.464,0.693,3.315,0.748,MoveForward
1.447,0.686,3.326,0.765,MoveForward
1.429,0.678,1.493,0.783,MoveForward
1.411,0.671,1.473,0.801,MoveForward
1.392,0.664,3.363,0.819,MoveForward
1.374,0.656,4.051,0.838,MoveForward
1.355,0.648,3.070,0.857,MoveForward
1.335,0.644,3.067,0.876,MoveForward
1.316,0.638,3.084,0.895,MoveForward
1.297,0.630,3.078,0.914,MoveForward
1.278,0.624,3.079,0.933,MoveForward
1.262,0.617,3.080,0.952,MoveForward
1.240,0.610,3.092,0.971,MoveForward
1.223,0.604,3.093,0.991,MoveForward
