@relation WallFollowingRobotNavigation_2

@attribute SD_front numeric
@attribute SD_left numeric
@attribute Class {MoveForward, SlightRightTurn, SharpRightTurn, SlightLeftTurn}

@data
1.121,0.594,MoveForward
1.105,0.588,MoveForward
1.089,0.582,MoveForward
1.074,0.576,MoveForward
1.058,0.570,MoveForward
1.043,0.564,MoveForward
1.026,0.562,MoveForward
1.009,0.555,MoveForward
0.989,0.549,MoveForward
0.733,0.539,SharpRightTurn
0.711,0.540,SharpRightTurn
0.679,0.530,SharpRightTurn
0.658,0.521,SharpRightTurn
0.650,0.515,SharpRightTurn
0.644,0.509,SharpRightTurn
0.639,0.504,SharpRightTurn
0.860,0.504,SharpRightTurn
0.859,0.496,SharpRightTurn
0.861,0.491,SharpRightTurn
0.865,0.491,SharpRightTurn
0.865,0.491,SharpRightTurn
0.865,0.490,SharpRightTurn
0.865,0.490,SharpRightTurn
0.865,0.489,SharpRightTurn
0.865,0.488,SharpRightTurn
0.868,0.487,SharpRightTurn
0.867,0.486,SharpRightTurn
0.870,0.485,SharpRightTurn
0.869,0.485,SharpRightTurn
0.740,0.484,SharpRightTurn
0.740,0.483,SharpRightTurn
0.861,0.482,SharpRightTurn
0.859,0.480,SharpRightTurn
0.857,0.478,SharpRightTurn
0.853,0.477,SharpRightTurn
0.850,0.475,SharpRightTurn
0.852,0.474,SharpRightTurn
0.852,0.472,SharpRightTurn
0.851,0.470,SharpRightTurn
0.854,0.467,SharpRightTurn
0.857,0.465,SharpRightTurn
0.873,0.462,SharpRightTurn
1.491,0.460,SlightRightTurn
1.202,0.458,SlightRightTurn
1.201,0.456,SlightRightTurn
1.200,0.455,SlightRightTurn
1.198,0.454,SlightRightTurn
1.198,0.455,SlightRightTurn
1.198,0.455,SlightRightTurn
1.197,0.456,SlightRightTurn
1.198,0.456,SlightRightTurn
1.191,0.457,SlightRightTurn
1.186,0.458,SlightRightTurn
1.567,0.459,SlightRightTurn
1.208,0.461,SlightRightTurn
1.553,0.462,SlightRightTurn
1.191,0.464,SlightRightTurn
1.535,0.465,SlightRightTurn
1.528,0.466,SlightRightTurn
1.519,0.468,SlightRightTurn
1.512,0.470,SlightRightTurn
1.416,0.471,SlightRightTurn
1.522,0.473,SlightRightTurn
1.475,0.476,SlightRightTurn
1.487,0.478,SlightRightTurn
1.473,0.480,SlightRightTurn
1.472,0.483,SlightRightTurn
1.459,0.486,SlightRightTurn
1.462,0.489,SlightRightTurn
1.340,0.491,SlightRightTurn
1.335,0.494,SlightRightTurn
1.421,0.497,MoveForward
1.421,0.500,MoveForward
1.414,0.504,MoveForward
1.404,0.507,MoveForward
1.393,0.511,MoveForward
1.381,0.515,MoveForward
1.368,0.520,MoveForward
1.353,0.526,MoveForward
1.309,0.531,MoveForward
1.293,0.538,MoveForward
1.273,0.545,MoveForward
1.287,0.551,MoveForward
1.269,0.559,MoveForward
1.220,0.566,MoveForward
1.202,0.574,MoveForward
1.183,0.581,MoveForward
1.165,0.589,MoveForward
1.143,0.597,MoveForward
1.128,0.604,MoveForward
1.106,0.612,MoveForward
1.090,0.619,MoveForward
1.068,0.627,MoveForward
1.049,0.635,MoveForward
1.030,0.642,MoveForward
1.012,0.650,MoveForward
0.994,0.657,MoveForward
0.975,0.664,MoveForward
0.957,0.672,MoveForward
0.942,0.679,MoveForward
1.173,0.686,MoveForward
1.160,0.695,MoveForward
1.148,0.702,MoveForward
1.139,0.707,MoveForward
1.128,0.702,MoveForward
1.126,0.704,MoveForward
1.473,0.710,MoveForward
1.454,0.713,MoveForward
1.434,0.719,MoveForward
1.412,0.726,MoveForward
1.063,0.733,MoveForward
1.050,0.741,MoveForward
1.040,0.748,MoveForward
1.030,0.756,MoveForward
1.021,0.763,MoveForward
1.011,0.771,MoveForward
0.642,0.778,SharpRightTurn
0.622,0.786,SharpRightTurn
0.606,0.793,SharpRightTurn
0.589,0.801,SharpRightTurn
0.574,0.805,SharpRightTurn
0.559,0.807,SharpRightTurn
0.547,0.797,SharpRightTurn
0.541,0.786,SharpRightTurn
0.549,0.784,SharpRightTurn
0.983,0.780,MoveForward
0.984,0.780,MoveForward
0.983,0.780,MoveForward
0.983,0.780,MoveForward
0.981,0.780,MoveForward
0.980,0.780,MoveForward
0.979,0.779,MoveForward
0.978,0.779,MoveForward
0.978,0.779,MoveForward
0.977,0.779,MoveForward
0.976,0.778,MoveForward
0.974,0.778,MoveForward
0.972,0.777,MoveForward
0.968,0.777,MoveForward
0.961,0.776,MoveForward
0.952,0.775,MoveForward
0.937,0.773,MoveForward
0.924,0.775,MoveForward
0.910,0.774,MoveForward
0.895,0.773,SharpRightTurn
0.880,0.779,SharpRightTurn
0.864,0.779,SharpRightTurn
0.847,0.779,SharpRightTurn
0.832,0.778,SharpRightTurn
0.817,0.775,SharpRightTurn
0.804,0.771,SharpRightTurn
0.793,0.771,SharpRightTurn
0.792,0.769,SharpRightTurn
0.789,0.768,SharpRightTurn
0.791,0.767,SharpRightTurn
0.792,0.766,SharpRightTurn
0.792,0.766,SharpRightTurn
0.792,0.765,SharpRightTurn
0.791,0.765,SharpRightTurn
0.790,0.764,SharpRightTurn
0.791,0.766,SharpRightTurn
0.790,0.766,SharpRightTurn
0.790,0.769,SharpRightTurn
0.789,0.872,SharpRightTurn
0.789,0.870,SharpRightTurn
0.789,0.865,SharpRightTurn
0.788,0.772,SharpRightTurn
0.787,0.759,SharpRightTurn
0.786,0.753,SharpRightTurn
0.785,0.751,SharpRightTurn
0.785,0.749,SharpRightTurn
0.784,0.746,SharpRightTurn
0.787,0.744,SharpRightTurn
1.815,0.746,MoveForward
0.810,0.381,SharpRightTurn
0.789,0.376,SharpRightTurn
0.785,0.374,SharpRightTurn
0.785,0.374,SharpRightTurn
0.785,0.373,SharpRightTurn
0.785,0.373,SharpRightTurn
0.785,0.372,SharpRightTurn
0.785,0.372,SharpRightTurn
0.785,0.371,SharpRightTurn
0.788,0.370,SharpRightTurn
0.788,0.370,SharpRightTurn
0.788,0.372,SharpRightTurn
0.791,0.751,SharpRightTurn
0.798,0.743,SharpRightTurn
0.811,0.836,SharpRightTurn
1.824,0.835,MoveForward
1.821,0.371,SlightRightTurn
1.817,0.363,SlightRightTurn
1.816,0.357,SlightRightTurn
1.814,0.357,SlightRightTurn
1.813,0.357,SlightRightTurn
1.813,0.357,SlightRightTurn
1.810,0.357,SlightRightTurn
1.810,0.356,SlightRightTurn
1.810,0.356,SlightRightTurn
0.963,0.356,SlightRightTurn
1.810,0.356,SlightRightTurn
0.957,0.357,SlightRightTurn
1.799,0.357,SlightRightTurn
0.937,0.358,SlightRightTurn
0.930,0.362,SlightRightTurn
0.919,0.747,MoveForward
0.912,0.746,MoveForward
0.905,0.742,MoveForward
0.900,0.738,SharpRightTurn
0.898,0.734,SharpRightTurn
1.727,0.383,SlightRightTurn
2.715,0.374,SlightRightTurn
2.094,0.374,SlightRightTurn
2.693,0.378,SlightRightTurn
2.681,0.386,SlightRightTurn
2.670,0.700,MoveForward
2.660,0.697,MoveForward
2.651,0.693,MoveForward
2.644,0.690,MoveForward
2.634,0.687,MoveForward
2.622,0.683,MoveForward
2.618,0.680,MoveForward
2.595,0.676,MoveForward
1.567,0.672,MoveForward
1.557,0.668,MoveForward
1.537,0.664,MoveForward
2.528,0.660,MoveForward
1.499,0.655,MoveForward
1.478,0.651,MoveForward
1.459,0.647,MoveForward
1.441,0.538,MoveForward
1.422,0.640,MoveForward
1.407,0.636,MoveForward
1.388,0.632,MoveForward
1.369,0.628,MoveForward
1.350,0.624,MoveForward
1.331,0.620,MoveForward
1.309,0.616,MoveForward
1.294,0.612,MoveForward
1.275,0.608,MoveForward
2.249,0.604,MoveForward
2.230,0.599,MoveForward
2.210,0.595,MoveForward
2.191,0.589,MoveForward
2.171,0.585,MoveForward
2.151,0.583,MoveForward
2.131,0.580,MoveForward
2.111,0.576,MoveForward
2.092,0.572,MoveForward
2.072,0.568,MoveForward
2.053,0.564,MoveForward
2.034,0.561,MoveForward
2.014,0.557,MoveForward
1.994,0.553,MoveForward
1.975,0.549,MoveForward
1.955,0.545,MoveForward
1.935,0.541,MoveForward
1.916,0.537,MoveForward
1.897,0.533,MoveForward
1.878,0.530,MoveForward
1.859,0.526,MoveForward
1.840,0.522,MoveForward
1.822,0.518,MoveForward
0.584,0.515,SharpRightTurn
0.577,0.511,SharpRightTurn
0.577,0.507,SharpRightTurn
0.573,0.504,SharpRightTurn
0.790,0.500,SharpRightTurn
0.777,0.497,SharpRightTurn
0.765,0.494,SharpRightTurn
0.760,0.491,SharpRightTurn
0.761,0.490,SharpRightTurn
0.769,0.490,SharpRightTurn
0.770,0.489,SharpRightTurn
0.773,0.490,SharpRightTurn
0.773,0.489,SharpRightTurn
0.770,0.489,SharpRightTurn
0.773,0.488,SharpRightTurn
1.501,0.487,SlightRightTurn
1.495,0.487,SlightRightTurn
1.494,0.486,SlightRightTurn
1.491,0.485,SlightRightTurn
1.496,0.485,SlightRightTurn
1.702,0.485,SlightRightTurn
1.492,0.485,SlightRightTurn
1.491,0.485,SlightRightTurn
1.492,0.485,SlightRightTurn
1.694,0.484,SlightRightTurn
1.689,0.483,SlightRightTurn
1.682,0.483,SlightRightTurn
1.675,0.482,SlightRightTurn
1.666,0.481,SlightRightTurn
1.656,0.480,SlightRightTurn
0.583,0.479,SharpRightTurn
1.635,0.478,SlightRightTurn
1.624,0.478,SlightRightTurn
1.613,0.478,SlightRightTurn
1.603,0.477,SlightRightTurn
1.593,0.477,SlightRightTurn
1.584,0.478,SlightRightTurn
1.575,0.477,SlightRightTurn
1.567,0.478,SlightRightTurn
1.559,0.478,SlightRightTurn
1.550,0.478,SlightRightTurn
1.541,0.479,SlightRightTurn
1.531,0.480,SlightRightTurn
1.521,0.480,SlightRightTurn
1.511,0.481,SlightRightTurn
1.316,0.482,SlightRightTurn
1.304,0.483,SlightRightTurn
1.296,0.484,SlightRightTurn
1.291,0.485,SlightRightTurn
1.283,0.486,SlightRightTurn
1.278,0.487,SlightRightTurn
1.273,0.488,SlightRightTurn
1.432,0.490,SlightRightTurn
1.422,0.491,SlightRightTurn
1.412,0.493,SlightRightTurn
1.402,0.494,SlightRightTurn
1.392,0.496,MoveForward
1.382,0.498,MoveForward
1.372,0.499,MoveForward
1.361,0.501,MoveForward
1.349,0.503,MoveForward
1.336,0.506,MoveForward
1.322,0.509,MoveForward
1.308,0.513,MoveForward
1.292,0.516,MoveForward
1.275,0.521,MoveForward
1.259,0.526,MoveForward
1.241,0.531,MoveForward
1.223,0.536,MoveForward
1.205,0.541,MoveForward
1.186,0.547,MoveForward
1.168,0.553,MoveForward
1.150,0.559,MoveForward
1.131,0.565,MoveForward
1.113,0.571,MoveForward
1.094,0.578,MoveForward
1.075,0.584,MoveForward
1.056,0.591,MoveForward
1.037,0.597,MoveForward
1.018,0.604,MoveForward
0.998,0.608,MoveForward
0.979,0.615,MoveForward
0.959,0.623,MoveForward
0.940,0.631,MoveForward
0.923,0.638,MoveForward
0.904,0.645,MoveForward
0.882,0.652,SharpRightTurn
0.864,0.658,SharpRightTurn
0.846,0.665,SharpRightTurn
0.827,0.671,SharpRightTurn
0.809,0.678,SharpRightTurn
0.792,0.684,SharpRightTurn
0.776,0.689,SharpRightTurn
0.767,0.690,SharpRightTurn
0.767,0.687,SharpRightTurn
0.769,0.686,SharpRightTurn
0.770,0.685,SharpRightTurn
0.770,0.685,SharpRightTurn
0.769,0.685,SharpRightTurn
0.769,0.684,SharpRightTurn
0.769,0.684,SharpRightTurn
0.769,0.683,SharpRightTurn
0.768,0.683,SharpRightTurn
0.768,0.682,SharpRightTurn
0.768,0.681,SharpRightTurn
0.769,0.680,SharpRightTurn
0.765,0.682,SharpRightTurn
0.763,0.684,SharpRightTurn
0.762,0.683,SharpRightTurn
0.761,0.681,SharpRightTurn
0.760,0.677,SharpRightTurn
0.759,0.676,SharpRightTurn
0.758,0.679,SharpRightTurn
0.757,0.679,SharpRightTurn
0.756,0.682,SharpRightTurn
0.755,0.689,SharpRightTurn
0.762,0.720,SharpRightTurn
0.769,0.783,SharpRightTurn
0.772,0.685,SharpRightTurn
0.758,0.779,SharpRightTurn
0.758,0.779,SharpRightTurn
0.758,0.776,SharpRightTurn
0.761,0.851,SharpRightTurn
0.764,0.713,SharpRightTurn
0.768,0.753,SharpRightTurn
1.566,0.749,MoveForward
1.567,0.745,MoveForward
1.568,0.711,MoveForward
1.570,0.741,MoveForward
1.572,0.740,MoveForward
1.567,0.742,MoveForward
1.560,0.724,MoveForward
1.551,0.734,MoveForward
1.540,0.726,MoveForward
1.527,0.720,MoveForward
1.513,0.714,MoveForward
1.497,0.707,MoveForward
1.481,0.700,MoveForward
1.464,0.693,MoveForward
1.447,0.686,MoveForward
1.429,0.678,MoveForward
1.411,0.671,MoveForward
1.392,0.664,MoveForward
1.374,0.656,MoveForward
1.355,0.648,MoveForward
1.335,0.644,MoveForward
1.316,0.638,MoveForward
1.297,0.630,MoveForward
1.278,0.624,MoveForward
1.262,0.617,MoveForward
1.240,0.610,MoveForward
1.223,0.604,MoveForward
1.200,0.597,MoveForward
1.180,0.587,MoveForward
1.161,0.580,MoveForward
1.141,0.574,MoveForward
1.121,0.566,MoveForward
1.102,0.562,MoveForward
1.083,0.556,MoveForward
1.065,0.549,MoveForward
1.046,0.543,MoveForward
1.028,0.537,MoveForward
1.010,0.530,MoveForward
0.992,0.524,MoveForward
0.974,0.517,MoveForward
0.956,0.512,MoveForward
0.938,0.505,MoveForward
0.690,0.498,SharpRightTurn
0.671,0.489,SharpRightTurn
0.619,0.483,SharpRightTurn
0.607,0.477,SharpRightTurn
0.593,0.473,SharpRightTurn
0.580,0.465,SharpRightTurn
0.568,0.462,SharpRightTurn
0.821,0.462,SharpRightTurn
0.824,0.458,SharpRightTurn
0.826,0.455,SharpRightTurn
0.825,0.454,SharpRightTurn
0.825,0.454,SharpRightTurn
0.825,0.453,SharpRightTurn
0.822,0.452,SharpRightTurn
0.507,0.452,SharpRightTurn
0.507,0.451,SharpRightTurn
0.507,0.451,SharpRightTurn
0.508,0.450,SharpRightTurn
0.508,0.450,SharpRightTurn
0.508,0.449,SharpRightTurn
0.508,0.448,SharpRightTurn
0.508,0.448,SharpRightTurn
0.512,0.447,SharpRightTurn
0.823,0.447,SharpRightTurn
0.823,0.446,SharpRightTurn
0.823,0.445,SharpRightTurn
0.823,0.443,SharpRightTurn
0.823,0.438,SharpRightTurn
0.824,0.440,SharpRightTurn
0.824,0.438,SharpRightTurn
0.829,0.436,SharpRightTurn
0.830,0.435,SharpRightTurn
0.829,0.433,SharpRightTurn
0.826,0.431,SharpRightTurn
0.826,0.428,SharpRightTurn
0.825,0.426,SharpRightTurn
0.825,0.423,SharpRightTurn
0.825,0.421,SharpRightTurn
0.828,0.419,SharpRightTurn
0.828,0.417,SharpRightTurn
0.829,0.416,SharpRightTurn
0.831,0.414,SharpRightTurn
0.826,0.411,SharpRightTurn
0.825,0.408,SharpRightTurn
0.824,0.405,SharpRightTurn
0.820,0.403,SharpRightTurn
0.820,0.400,SharpRightTurn
0.822,0.399,SharpRightTurn
0.821,0.397,SharpRightTurn
0.824,0.396,SharpRightTurn
0.824,0.395,SharpRightTurn
0.819,0.407,SharpRightTurn
0.813,0.399,SharpRightTurn
0.811,0.395,SharpRightTurn
0.810,0.393,SharpRightTurn
0.805,0.393,SharpRightTurn
0.808,0.396,SharpRightTurn
0.806,0.423,SharpRightTurn
0.809,0.431,SharpRightTurn
0.811,0.435,SharpRightTurn
0.904,0.403,SlightRightTurn
0.804,0.404,SharpRightTurn
0.803,0.405,SharpRightTurn
0.802,0.427,SharpRightTurn
0.802,0.431,SharpRightTurn
0.805,0.478,SharpRightTurn
0.802,0.477,SharpRightTurn
0.805,0.477,SharpRightTurn
0.805,0.479,SharpRightTurn
0.805,0.479,SharpRightTurn
0.808,0.478,SharpRightTurn
0.822,0.490,SharpRightTurn
0.825,0.937,SharpRightTurn
3.338,0.423,SlightRightTurn
3.335,0.424,SlightRightTurn
3.335,0.425,SlightRightTurn
3.335,0.422,SlightRightTurn
3.335,0.425,SlightRightTurn
3.335,0.422,SlightRightTurn
3.335,0.425,SlightRightTurn
3.335,0.425,SlightRightTurn
3.335,0.425,SlightRightTurn
3.334,0.427,SlightRightTurn
2.935,0.426,SlightRightTurn
2.923,0.431,SlightRightTurn
3.322,0.436,SlightRightTurn
3.316,0.443,SlightRightTurn
3.309,0.454,SlightRightTurn
3.301,0.463,SlightRightTurn
3.290,0.479,SlightRightTurn
3.281,0.761,MoveForward
3.273,0.756,MoveForward
3.267,0.751,MoveForward
3.258,0.747,MoveForward
3.250,0.746,MoveForward
3.237,0.741,MoveForward
3.220,0.735,MoveForward
3.205,0.729,MoveForward
3.189,0.723,MoveForward
3.172,0.716,MoveForward
3.160,0.713,MoveForward
3.138,0.706,MoveForward
3.082,0.710,MoveForward
0.940,0.694,MoveForward
0.940,0.694,MoveForward
3.023,0.684,MoveForward
3.001,0.682,MoveForward
2.981,0.656,MoveForward
2.965,0.646,MoveForward
2.659,0.650,MoveForward
2.641,0.634,MoveForward
2.651,0.625,MoveForward
2.885,0.623,MoveForward
2.866,0.614,MoveForward
2.581,0.613,MoveForward
2.828,0.607,MoveForward
2.549,0.599,MoveForward
2.544,0.597,MoveForward
2.505,0.593,MoveForward
2.471,0.589,MoveForward
2.466,0.589,MoveForward
2.715,0.587,MoveForward
2.696,0.585,MoveForward
2.281,0.606,MoveForward
2.261,0.598,MoveForward
2.248,0.593,MoveForward
2.630,0.584,MoveForward
2.604,0.597,MoveForward
2.585,0.574,MoveForward
2.565,0.568,MoveForward
2.546,0.559,MoveForward
2.527,0.553,MoveForward
2.508,0.547,MoveForward
2.486,0.540,MoveForward
2.468,0.534,MoveForward
2.448,0.528,MoveForward
2.432,0.520,MoveForward
2.410,0.518,MoveForward
2.394,0.525,MoveForward
2.372,0.501,MoveForward
2.353,0.497,MoveForward
2.338,0.491,SlightRightTurn
2.316,0.481,SlightRightTurn
2.297,0.476,SlightRightTurn
1.914,0.471,SlightRightTurn
1.889,0.464,SlightRightTurn
1.877,0.463,SlightRightTurn
2.225,0.461,SlightRightTurn
2.209,0.460,SlightRightTurn
2.194,0.461,SlightRightTurn
2.180,0.458,SlightRightTurn
2.166,0.457,SlightRightTurn
1.877,0.515,MoveForward
1.879,0.474,SlightRightTurn
2.130,0.471,SlightRightTurn
2.120,0.467,SlightRightTurn
1.838,0.460,SlightRightTurn
1.827,0.460,SlightRightTurn
2.090,0.464,SlightRightTurn
2.081,0.458,SlightRightTurn
1.840,0.458,SlightRightTurn
1.832,0.468,SlightRightTurn
1.791,0.567,MoveForward
1.780,0.598,MoveForward
1.776,0.537,MoveForward
1.839,0.562,MoveForward
2.025,0.578,MoveForward
2.011,3.134,SlightLeftTurn
2.000,0.515,MoveForward
1.987,0.489,SlightRightTurn
1.974,0.495,MoveForward
1.960,1.434,SlightLeftTurn
1.945,1.426,SlightLeftTurn
1.930,1.422,SlightLeftTurn
1.914,1.415,SlightLeftTurn
1.897,1.413,SlightLeftTurn
1.881,1.407,SlightLeftTurn
1.865,1.406,SlightLeftTurn
1.848,1.404,SlightLeftTurn
1.831,1.402,SlightLeftTurn
1.815,1.403,SlightLeftTurn
1.798,1.398,SlightLeftTurn
1.781,1.396,SlightLeftTurn
1.764,1.397,SlightLeftTurn
1.748,1.395,SlightLeftTurn
1.732,1.393,SlightLeftTurn
1.647,1.394,SlightLeftTurn
1.631,1.406,SlightLeftTurn
1.628,1.405,SlightLeftTurn
1.612,1.390,SlightLeftTurn
1.596,1.388,SlightLeftTurn
1.557,1.387,SlightLeftTurn
1.559,1.386,SlightLeftTurn
1.581,1.387,SlightLeftTurn
1.463,0.715,MoveForward
1.458,0.709,MoveForward
1.370,0.723,MoveForward
1.367,0.724,MoveForward
1.429,0.730,MoveForward
1.417,0.798,MoveForward
1.347,0.848,MoveForward
1.332,2.171,SlightLeftTurn
1.323,2.177,SlightLeftTurn
1.312,2.185,SlightLeftTurn
1.300,2.197,SlightLeftTurn
1.284,2.208,SlightLeftTurn
1.274,2.224,SlightLeftTurn
1.261,2.233,SlightLeftTurn
1.251,2.241,SlightLeftTurn
1.242,2.252,SlightLeftTurn
1.226,2.261,SlightLeftTurn
1.213,2.267,SlightLeftTurn
1.197,0.862,MoveForward
1.182,2.282,SlightLeftTurn
1.170,0.868,MoveForward
1.158,2.295,SlightLeftTurn
1.144,2.302,SlightLeftTurn
1.133,0.819,MoveForward
1.118,0.821,MoveForward
1.103,0.824,MoveForward
1.089,0.826,MoveForward
1.074,0.828,MoveForward
1.059,0.830,MoveForward
1.042,0.828,MoveForward
1.025,0.823,MoveForward
1.007,0.797,MoveForward
0.985,0.792,MoveForward
0.967,0.795,MoveForward
0.947,0.794,MoveForward
0.928,0.797,MoveForward
0.908,0.800,MoveForward
0.889,0.804,SharpRightTurn
0.869,0.808,SharpRightTurn
0.849,0.812,SharpRightTurn
0.830,0.813,SharpRightTurn
0.811,0.817,SharpRightTurn
0.793,0.822,SharpRightTurn
0.780,0.824,SharpRightTurn
0.778,0.825,SharpRightTurn
0.784,0.823,SharpRightTurn
0.785,0.819,SharpRightTurn
0.786,0.819,SharpRightTurn
0.786,0.818,SharpRightTurn
0.786,0.817,SharpRightTurn
0.785,0.817,SharpRightTurn
0.785,0.816,SharpRightTurn
0.785,0.816,SharpRightTurn
0.785,0.815,SharpRightTurn
0.785,0.814,SharpRightTurn
0.784,0.813,SharpRightTurn
0.780,0.812,SharpRightTurn
0.780,0.811,SharpRightTurn
0.779,0.810,SharpRightTurn
0.779,0.808,SharpRightTurn
0.778,0.807,SharpRightTurn
0.777,0.805,SharpRightTurn
0.780,0.808,SharpRightTurn
0.779,0.813,SharpRightTurn
0.779,0.825,SharpRightTurn
0.779,0.817,SharpRightTurn
0.778,0.812,SharpRightTurn
0.776,0.808,SharpRightTurn
0.771,0.803,SharpRightTurn
0.770,0.803,SharpRightTurn
0.769,0.802,SharpRightTurn
0.768,0.828,SharpRightTurn
0.767,0.878,SharpRightTurn
0.769,0.863,SharpRightTurn
0.769,0.871,SharpRightTurn
0.769,0.820,SharpRightTurn
0.778,0.800,SharpRightTurn
0.803,0.792,SharpRightTurn
0.774,0.789,SharpRightTurn
0.767,0.788,SharpRightTurn
0.766,0.782,SharpRightTurn
